"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"535","RT @BernieSanders: Blitzer: ""The debate in New York City that they want. Are you accepting that?""

Clinton: ""No...""
https://t.co/klNDtKYeM1",FALSE,0,NA,2016-02-02 23:52:46,FALSE,NA,"694669820093165568",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Claire_Bleeeler",1528,TRUE,FALSE,NA,NA
"536","RT @Morning_Joe: .@BernieSanders sets his sights on New Hampshire and beyond. Tune in TOMORROW! #morningjoe https://t.co/kMW818Ap59",FALSE,0,NA,2016-02-02 23:52:45,FALSE,NA,"694669818738429952",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","DWallSW6",505,TRUE,FALSE,NA,NA
"537","RT @Morning_Joe: .@BernieSanders sets his sights on New Hampshire and beyond. Tune in TOMORROW! #morningjoe https://t.co/kMW818Ap59",FALSE,0,NA,2016-02-02 23:52:45,FALSE,NA,"694669816158908417",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","reginagroks",505,TRUE,FALSE,NA,NA
"538","The argument against @BernieSanders that he's 'just an idealist' is the kind of complacency keeping this country stuck in an endless cycle.",FALSE,0,NA,2016-02-02 23:52:42,FALSE,NA,"694669803936694273",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","4DZevyn",0,FALSE,FALSE,NA,NA
"539","RT @BernieSanders: Blitzer: ""The debate in New York City that they want. Are you accepting that?""

Clinton: ""No...""
https://t.co/klNDtKYeM1",FALSE,0,NA,2016-02-02 23:52:40,FALSE,NA,"694669797007712256",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","basedjameis",1528,TRUE,FALSE,NA,NA
"540","RT @Morning_Joe: .@BernieSanders sets his sights on New Hampshire and beyond. Tune in TOMORROW! #morningjoe https://t.co/kMW818Ap59",FALSE,0,NA,2016-02-02 23:52:38,FALSE,NA,"694669788761722886",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","erika_petersen",505,TRUE,FALSE,NA,NA
"541","RT @BernieSanders: In the year 2016, public colleges and universities should be tuition free. How will we pay for it? We're gonna tax Wall …",FALSE,0,NA,2016-02-02 23:52:37,FALSE,NA,"694669784185753600",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","i_am_he_31",2440,TRUE,FALSE,NA,NA
"542","RT @BernieSanders: In the year 2016, public colleges and universities should be tuition free. How will we pay for it? We're gonna tax Wall …",FALSE,0,NA,2016-02-02 23:52:37,FALSE,NA,"694669782587564032",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","woahnoitsbailey",2440,TRUE,FALSE,NA,NA
"543","@BernieSanders Good luck in New Hampshire!",FALSE,0,"BernieSanders",2016-02-02 23:52:36,FALSE,NA,"694669780121313280","216776631","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","lyntara",0,FALSE,FALSE,NA,NA
"544","RT @BernieSanders: In the year 2016, public colleges and universities should be tuition free. How will we pay for it? We're gonna tax Wall …",FALSE,0,NA,2016-02-02 23:52:36,FALSE,NA,"694669779605569536",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","_morggz",2440,TRUE,FALSE,NA,NA
