"","x"
"581","pleaseclap"
"582","politician"
"583","polls"
"584","post"
"585","potus"
"586","presidentialelection"
"587","proud"
"588","proving"
"589","pulling"
"590","pushing"
"591","question"
"592","quiet"
"593","rally"
"594","reason"
"595","recount"
"596","regarding"
"597","report"
"598","responses"
"599","result"
"600","retweeted"
"601","rule"
"602","safe"
"603","scoffs"
"604","search"
"605","send"
"606","serious"
"607","shot"
"608","shouldnt"
"609","shows"
"610","since"
"611","sleeping"
"612","somebody"
"613","son"
"614","space"
"615","sparks"
"616","start"
"617","stick"
"618","stubby"
"619","stuff"
"620","stupid"
"621","stupidity"
"622","subway"
"623","super"
"624","supportsyrians"
"625","surprised"
"626","sweet"
"627","takes"
"628","tantrums"
"629","teddy"
"630","teechip"
"631","tells"
"632","terrible"
"633","though"
"634","tonight"
"635","translation"
"636","tries"
"637","troll"
"638","trolling"
"639","trumpdump"
"640","trumper"
"641","trumpertantrums"
"642","trumpisaslob"
"643","trumpkin"
"644","turn"
"645","tv"
"646","tweeting"
"647","unless"
"648","unpopular"
"649","until"
"650","v"
"651","vet"
"652","vets"
"653","violation"
"654","visit"
"655","vs"
"656","waaa"
"657","wake"
"658","wanna"
"659","websters"
"660","whine"
"661","whiner"
"662","whiny"
"663","whoever"
"664","whole"
"665","winner"
"666","wittle"
"667","wonder"
"668","world"
"669","worst"
"670","yall"
"671","yet"
"672","100"
"673","12"
"674","1911makeamericagreatagain"
"675","1994"
"676","2016s"
"677","2016trumpertantrum"
"678","28"
"679","2am"
"680","3025"
"681","305"
"682","321"
"683","3316556hillarysoprogressive"
"684","3yearold"
"685","45th"
"686","5"
"687","600"
"688","70"
"689","9"
"690","99"
"691","aba"
"692","abcnews"
"693","abide"
"694","aboard"
"695","above"
"696","absolute"
"697","abt"
"698","abyss"
"699","aca"
"700","accurately"
"701","accuse"
"702","actively"
"703","acts"
"704","actual"
"705","acute"
"706","added"
"707","addendum"
"708","adding"
"709","addition"
"710","adjectives"
"711","admirer"
"712","admitted"
"713","adult"
"714","affect"
"715","afternoon"
"716","afternoons"
"717","age"
"718","aggression"
"719","agreement"
"720","ahead"
"721","ahole"
"722","ails"
"723","aim"
"724","aka"
"725","alien"
"726","almond"
"727","alohabloomies"
"728","along"
"729","alphabet"
"730","alright"
"731","alternative"
"732","amendment"
"733","americancrime"
"734","amp039trumpertantrumamp039"
"735","anchor"
"736","anger"
"737","announcing"
"738","annoying1"
"739","annoyingsales"
"740","answers"
"741","anti"
"742","antidefamation"
"743","antidonaldtrump"
"744","antiidiocracy"
"745","antitrump"
"746","antonym"
"747","anywhere"
"748","apart"
"749","apogee"
"750","apology"
"751","apparently"
"752","appropriate"
"753","arguments"
"754","armstrongs"
"755","arrogant"
"756","ask"
"757","asked"
"758","asleepatthewheel"
"759","ass"
"760","asses"
"761","assessment"
"762","asshole"
"763","assuming"
"764","asswhippin"
"765","ate"
"766","attack"
"767","attend"
"768","automobile"
"769","avoids"
"770","awaiting"
"771","award"
"772","aware"
"773","awwpoor"
"774","babies"
"775","badkickstarterin5words"
"776","bae"
"777","baeoftheday"
"778","bag"
"779","bait"
"780","ballots"
"781","baltimore"
"782","bankruptcy"
"783","bankruptee"
"784","barely"
"785","bars"
"786","based"
"787","batshit"
"788","battle"
"789","battlefield4"
"790","beating"
"791","beats"
"792","beck"
"793","becomes"
"794","begin"
"795","beginning"
"796","behaving"
"797","believes"
"798","belikebob"
"799","belongs"
"800","beloved"
"801","belt"
"802","bencarson"
"803","bestsayingever"
"804","bet"
"805","between"
"806","bigbaby"
"807","bigbully6"
"808","bigger"
"809","bigheaded"
"810","bigots"
"811","bih"
"812","billionaire"
"813","bimbo"
"814","birthnamed"
"815","birthplace"
"816","bit"
"817","bitch"
"818","bitches"
"819","bite"
"820","bitter"
"821","blaming"
"822","bless"
"823","blood"
"824","bloomies"
"825","blowhard"
"826","bluesteelselfie"
"827","bluster"
"828","blustersdumptrump"
"829","bob"
"830","bonehead"
"831","boo"
"832","boohoo"
"833","book"
"834","boom"
"835","borrowed"
"836","bottle"
"837","bougie"
"838","box"
"839","boy"
"840","boys"
"841","breaks"
"842","brf"
"843","bringit"
"844","brings"
"845","brutish"
"846","bubbleboy"
"847","buchanan"
"848","buchanans"
"849","buffoonery"
"850","built"
"851","bull"
"852","bullies"
"853","bunch"
"854","burn"
"855","busted"
"856","busy"
"857","butt"
"858","butthurtbrigade"
"859","buying"
"860","buys"
"861","c58prez"
"862","calm"
"863","camp"
"864","cancer"
"865","capt"
"866","capture"
"867","caring"
"868","caroline"
"869","carries"
"870","carry"
"871","cars"
"872","carsons"
"873","case"
"874","caucas"
"875","caught"
"876","cause"
"877","cc"
"878","certainly"
"879","chance"
"880","change"
"881","chaos"
"882","charisma"
"883","charities"
"884","charlie"
"885","cheers"
"886","children"
"887","choke"
"888","choose"
"889","choosecruz"
"890","chooses"
"891","chose"
"892","chosen"
"893","christie"
"894","chump"
"895","claims"
"896","clarify"
"897","clean"
"898","cleaners"
"899","cleanup"
"900","climate"
"901","closely"
"902","clowns"
"903","cnnelection"
"904","cnusocialmedia"
"905","coal"
"906","coats"
"907","coin"
"908","coinage"
"909","comfortable"
"910","commercial"
"911","commie"
"912","commitment"
"913","commonnothing"
"914","company"
"915","competing"
"916","complains"
"917","complete"
"918","completely"
"919","confused"
"920","consider"
"921","considered"
"922","consistently"
"923","constantly"
"924","continue"
"925","contribute"
"926","controlhey"
"927","controversy"
"928","convert"
"929","cooked"
"930","cool"
"931","cooperative"
"932","corinthians"
"933","cosproject"
"934","cost"
"935","countenance"
"936","court"
"937","cover"
"938","covered"
"939","crash"
"940","creepy"
"941","crew"
"942","criediowans"
"943","criminal"
"944","criticism"
"945","crump"
"946","crushed"
